AsAc,Ks8s,2c 5d 6d 5c Qc,Aces and Fives,Pair of Fives,P0,(null)
AcAh,KcQc,2c 5d 6d 3d 4h,Six-High Straight,Six-High Straight,Split,P0,P1
AsAc,2h2s,2c 5d 6d 6c 5h,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AcAs,Kc9c,2c 5d 6d 2d Qs,Aces and Deuces,Pair of Deuces,P0,(null)
AsAd,Ks9s,2c 5d 6d Qd Ah,Three Aces,Ace-High,P0,(null)
AdAc,Kc7c,2c 5d 6d As Th,Three Aces,Ace-High,P0,(null)
AsAd,2d2h,2c 5d 6d Js Tc,Pair of Aces,Three Deuces,P1,(null)
AcAd,Ks9s,2c 5d 6d 7h 2d,Aces and Deuces,Pair of Deuces,P0,(null)
AhAd,KdQd,2c 5d 6d Ks 4h,Pair of Aces,Pair of Kings,P0,(null)
AdAc,KsTs,2c 5d 6d Qd 3c,Pair of Aces,King-High,P0,(null)
AsAc,KsTs,2c 5d 6d 7c Tc,Pair of Aces,Pair of Tens,P0,(null)
AdAs,2s2h,2c 5d 6d 9h 8s,Pair of Aces,Three Deuces,P1,(null)
AdAs,KdTd,2c 5d 6d 7c 8c,Pair of Aces,King-High,P0,(null)
AhAc,KcQc,2c 5d 6d Ad 3d,Three Aces,Ace-High,P0,(null)
AhAs,Ks8s,2c 5d 6d 8d Kd,Pair of Aces,Kings and Eights,P1,(null)
AhAd,Ks7s,2c 5d 6d 8h 2s,Aces and Deuces,Pair of Deuces,P0,(null)
AhAc,Kh8h,2c 5d 6d Qh As,Three Aces,Ace-High,P0,(null)
AdAs,2h2d,2c 5d 6d Tc Ts,Aces and Tens,Deuces Full over Tens,P1,(null)
AhAc,Kd9d,2c 5d 6d Td Kh,Pair of Aces,King-High Flush,P1,(null)
AcAh,2d2h,2c 5d 6d 9d 7c,Pair of Aces,Three Deuces,P1,(null)
AcAh,Kc9c,2c 5d 6d Td Kd,Pair of Aces,Pair of Kings,P0,(null)
AhAc,Kd7d,2c 5d 6d Jc Qs,Pair of Aces,King-High,P0,(null)
AdAh,KhTh,2c 5d 6d Qd As,Three Aces,Ace-High,P0,(null)
AdAh,Ks9s,2c 5d 6d Qc Qs,Aces and Queens,Pair of Queens,P0,(null)
AdAc,Ks8s,2c 5d 6d 3h Jh,Pair of Aces,King-High,P0,(null)
AcAs,KdTd,2c 5d 6d 5s Js,Aces and Fives,Pair of Fives,P0,(null)
AdAh,KhTh,2c 5d 6d 3c Td,Pair of Aces,Pair of Tens,P0,(null)
AcAs,KdTd,2c 5d 6d 8d Jc,Pair of Aces,King-High Flush,P1,(null)
AcAs,2h2d,2c 5d 6d 4d Th,Pair of Aces,Three Deuces,P1,(null)
AcAh,Kc7c,2c 5d 6d Td 3h,Pair of Aces,King-High,P0,(null)
AcAh,KdJd,2c 5d 6d 8c Th,Pair of Aces,King-High,P0,(null)
AhAd,KsTs,2c 5d 6d 6c Ac,Aces Full over Sixes,Pair of Sixes,P0,(null)
AhAd,Kh9h,2c 5d 6d 5c 8c,Aces and Fives,Pair of Fives,P0,(null)
AsAc,2s2d,2c 5d 6d 3s 5s,Aces and Fives,Deuces Full over Fives,P1,(null)
AdAh,KdTd,2c 5d 6d 4h 3c,Six-High Straight,Six-High Straight,Split,P0,P1
AsAc,KhQh,2c 5d 6d 5s 5h,Fives Full over Aces,Three Fives,P0,(null)
AhAc,KcQc,2c 5d 6d Qd Kd,Pair of Aces,Kings and Queens,P1,(null)
AhAs,KhQh,2c 5d 6d 3c 5c,Aces and Fives,Pair of Fives,P0,(null)
AhAs,Kh7h,2c 5d 6d 5s 5h,Fives Full over Aces,Three Fives,P0,(null)
AcAs,Kh7h,2c 5d 6d 6s 3d,Aces and Sixes,Pair of Sixes,P0,(null)
AcAs,Kh8h,2c 5d 6d Qc 3d,Pair of Aces,King-High,P0,(null)
AcAh,Kc7c,2c 5d 6d Qh Tc,Pair of Aces,King-High,P0,(null)
AcAh,Kc8c,2c 5d 6d 9d 7d,Pair of Aces,Nine-High Straight,P1,(null)
AhAd,2h2s,2c 5d 6d 4c 9h,Pair of Aces,Three Deuces,P1,(null)
AhAs,Kc8c,2c 5d 6d 5c 6h,Aces and Sixes,Sixes and Fives,P0,(null)
AcAs,KhJh,2c 5d 6d 4d 2d,Aces and Deuces,Pair of Deuces,P0,(null)
AcAh,KdJd,2c 5d 6d 3h Qd,Pair of Aces,King-High Flush,P1,(null)
AcAd,Ks8s,2c 5d 6d 2d 2h,Deuces Full over Aces,Three Deuces,P0,(null)
AsAd,Ks9s,2c 5d 6d Kc Js,Pair of Aces,Pair of Kings,P0,(null)
AcAh,Kd7d,2c 5d 6d 2h Qc,Aces and Deuces,Pair of Deuces,P0,(null)
AsAd,2s2h,2c 5d 6d 4s Th,Pair of Aces,Three Deuces,P1,(null)
AhAc,2s2d,2c 5d 6d 7h 8d,Pair of Aces,Three Deuces,P1,(null)
AcAs,KdJd,2c 5d 6d 9s Ah,Three Aces,Ace-High,P0,(null)
AcAs,Kh7h,2c 5d 6d 5c 8h,Aces and Fives,Pair of Fives,P0,(null)
AsAd,2h2s,2c 5d 6d 7s Jh,Pair of Aces,Three Deuces,P1,(null)
AcAd,KdQd,2c 5d 6d 8d 2h,Aces and Deuces,King-High Flush,P1,(null)
AcAh,Kd9d,2c 5d 6d 3c 9c,Pair of Aces,Pair of Nines,P0,(null)
AsAc,Kc7c,2c 5d 6d 5h Ts,Aces and Fives,Pair of Fives,P0,(null)
AhAs,KhQh,2c 5d 6d Jd 5h,Aces and Fives,Pair of Fives,P0,(null)
AcAd,Kc9c,2c 5d 6d Ts 5s,Aces and Fives,Pair of Fives,P0,(null)
AhAd,KcQc,2c 5d 6d 4s 9d,Pair of Aces,King-High,P0,(null)
AhAs,Ks7s,2c 5d 6d 5h Td,Aces and Fives,Pair of Fives,P0,(null)
AdAh,KsTs,2c 5d 6d 7h 9c,Pair of Aces,King-High,P0,(null)
AsAc,Kh7h,2c 5d 6d Kc 5h,Aces and Fives,Kings and Fives,P0,(null)
AhAd,KhJh,2c 5d 6d Js 2h,Aces and Deuces,Jacks and Deuces,P0,(null)
AsAc,Kc7c,2c 5d 6d 3h 9s,Pair of Aces,King-High,P0,(null)
AhAd,Kd7d,2c 5d 6d 6c 8s,Aces and Sixes,Pair of Sixes,P0,(null)
AhAs,Kc8c,2c 5d 6d 6h 6c,Sixes Full over Aces,Three Sixes,P0,(null)
AdAs,KhJh,2c 5d 6d 3s Qd,Pair of Aces,King-High,P0,(null)
AcAs,Kc7c,2c 5d 6d 6h Ks,Aces and Sixes,Kings and Sixes,P0,(null)
AhAs,Kh8h,2c 5d 6d 4d Jc,Pair of Aces,King-High,P0,(null)
AdAs,2d2s,2c 5d 6d 4d 9d,Ace-High Flush,Nine-High Flush,P0,(null)
AcAh,KhQh,2c 5d 6d 8s 2s,Aces and Deuces,Pair of Deuces,P0,(null)
AcAs,KcQc,2c 5d 6d 3d 5h,Aces and Fives,Pair of Fives,P0,(null)
AsAh,2s2h,2c 5d 6d 4s 9c,Pair of Aces,Three Deuces,P1,(null)
AhAs,2s2d,2c 5d 6d Js 3h,Pair of Aces,Three Deuces,P1,(null)
AhAs,KdTd,2c 5d 6d 9s Qd,Pair of Aces,King-High Flush,P1,(null)
AsAh,KdQd,2c 5d 6d Th Td,Aces and Tens,King-High Flush,P1,(null)
AdAs,Kd9d,2c 5d 6d Jh Qc,Pair of Aces,King-High,P0,(null)
AsAh,Kh7h,2c 5d 6d 5h Kc,Aces and Fives,Kings and Fives,P0,(null)
AdAc,2s2d,2c 5d 6d Qd 3s,Pair of Aces,Three Deuces,P1,(null)
AhAc,Kh8h,2c 5d 6d Qs 3d,Pair of Aces,King-High,P0,(null)
AdAs,KdQd,2c 5d 6d Jd 2d,Ace-High Flush,King-High Flush,P0,(null)
AcAd,Kd7d,2c 5d 6d Td 9d,Ace-High Flush,King-High Flush,P0,(null)
AcAs,Ks9s,2c 5d 6d Ah 8d,Three Aces,Ace-High,P0,(null)
AdAc,Kc9c,2c 5d 6d 6h 8c,Aces and Sixes,Pair of Sixes,P0,(null)
AhAd,2h2s,2c 5d 6d 5h 8s,Aces and Fives,Deuces Full over Fives,P1,(null)
AsAh,KsQs,2c 5d 6d Kd Ts,Pair of Aces,Pair of Kings,P0,(null)
AcAh,KhJh,2c 5d 6d As 6c,Aces Full over Sixes,Pair of Sixes,P0,(null)
AhAc,2d2h,2c 5d 6d 6c Ts,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AdAs,Kc7c,2c 5d 6d 6s 2s,Aces and Sixes,Sixes and Deuces,P0,(null)
AcAh,KsTs,2c 5d 6d 3s Js,Pair of Aces,King-High,P0,(null)
